"","hours_since_ESP_start","ESP_DNA_conc","model","sigma"
"1",0,1.4464393495,139.177812849726,1017.72002030597
"2",1.15166666666667,2.1203475715,15.0689768899299,102.142251763537
"3",2.30583333333333,13.89897022,10.4974712566012,68.902726803622
"4",3.4675,10.58133583,10.6485412420913,69.4226798309313
"5",4.62222222222222,18.26744232,11.2173543294473,72.991661355098
"6",5.90916666666667,1.540318358,11.5958056947665,75.4026214029203
"7",7.06666666666667,2.670489979,11.6118763503844,75.4943647375408
"8",8.22083333333333,8.292612075,11.4431165004914,74.3996784231593
"9",9.37583333333333,1.6962007165,11.124627539317,72.3413515931132
"10",10.5297222222222,1.052372849,10.7363226300417,69.8339723975707
"11",11.8113888888889,0.512022689,10.3635946451548,67.4281158466784
"12",12.9686111111111,1.704114425,10.0908420105478,65.6678847321945
"13",14.1216666666667,2.0553801535,9.95776855081644,64.8088708352794
"14",15.2752777777778,13.41634178,10.072518977245,65.5483031720373
"15",16.4333333333333,89.1845192,10.3923813276528,67.6104055562417
"16",17.7208333333333,47.080179595,10.6495909619214,69.2683911697618
"17",18.8791666666667,1.829655087,10.6685143758832,69.3896317943807
"18",20.0363888888889,1.0267517745,10.5104210822172,68.3693647912046
"19",21.1905555555556,220.05196535,10.1451243329141,66.0127147960862
"20",22.3438888888889,82.07231825,9.64463170515634,62.7846992609286
"21",23.6305555555556,14.83829584,9.16758804323564,59.7090006464185
"22",24.7855555555556,2.326476145,8.9454826840378,58.2780285409737
"23",25.9375,3.7386339905,9.01717339204281,58.7406709121305
"24",27.0913888888889,3.115834427,9.47906335838278,61.7183286541895
"25",28.2466666666667,1.1261313675,10.3068386360277,67.0550944013308
"26",29.5327777777778,1.5030409215,11.2437393559556,73.0974152332416
"27",30.6844444444444,2.1027272105,11.6867857103675,75.9561525626486
"28",31.8380555555556,1218.601538,11.7682664744942,76.4826639076517
"29",32.9913888888889,117.0971031,11.6154354538373,75.4970008431197
"30",34.1441666666667,13.99774065,11.2615185824241,73.2135483216065
"31",35.4286111111111,5.34338331,10.8033485011443,70.2575838397842
"32",36.5816666666667,15.264759635,10.4012390578172,67.6638275154265
"33",37.7408333333333,5.69854636,10.0536905416347,65.422283329171
"34",38.8986111111111,2.657329488,9.85014704449339,64.1098162753845
"35",40.0558333333333,3.793593812,9.90610398754253,64.4709130192657
"36",41.3433333333333,103.3961563,10.2675957187391,66.802119213453
"37",42.4966666666667,115.17424315,10.5771718460236,68.798130449195
"38",43.6497222222222,162.2705948,10.6642659031152,69.3594375533795
"39",44.8013888888889,43.06524086,10.5357674286072,68.5303523056066
"40",45.9541666666667,6.43390155,10.1848758347018,66.2668884972652
"41",47.2347222222222,9.87543249,9.64553939542157,62.7884881969097
"42",48.3861111111111,10.00958185,9.19625243452005,59.8922016881707
